Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,8025000.0
Depreciación y amortización ,9760000.0
Impuestos sobre la renta diferidos,3288000.0
Compensación con base en acciones,518000.0
Cambio en el capital circulante,1914000.0
Inventario,751000.0
Cuentas a pagar,198000.0
Otro capital circulante,12651000.0
Otros artículos no monetarios,1213000.0
Efectivo neto proporcionado por actividades en curso,13860000.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",1209000.0
Adquisiciones netas,1169000.0
Compras de inversiones,1774000.0
Ventas/vencimientos de inversiones,948000.0
Efectivo neto usado para actividades de inversión,2295000.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,3879000.0
Acción ordinaria readquirida,5155000.0
Dividendos pagados,4744000.0
Otras actividades de financiación,0.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,9416000.0
Cambio neto en efectivo,2194000.0
Efectivo al inicio del periodo,9325000.0
Efectivo al final del periodo,11519000.0
Flujo de caja libre,0.0
Flujo de caja operativo,13860000.0
Inversiones en bienes de capital,1209000.0
Flujo de caja libre,12651000.0
