Descripcion,Valor
Ingresos totales,45006000.0
Costo de ganancias,10693000.0
Ganancia bruta,34313000.0
Gastos operativos,0.0
Investigación y desarrollo,9299000.0
Ventas: generales y administrativas,7772000.0
Gastos operativos totales,26118000.0
Ingresos o pérdidas operativos,8195000.0
Gastos de interés,1166000.0
Valor neto total de otros gastos/ingresos,1411000.0
Ingreso antes de impuestos,8440000.0
Impuesto a las ganancias,400000.0
Ingreso de operaciones continuas,8040000.0
Ingresos netos,8025000.0
Ingreso neto disponible para accionistas comunes,8025000.0
EPS básicas,3.88
BPA diluido,3.86
Promedio de acciones básicas,2069000.0
Promedio de acciones diluidas,2078000.0
