Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,865000.0
Caja total,865000.0
Cuentas pendientes netas,2228000.0
Inventario,2484000.0
Otros activos circulantes,333000.0
Activos corrientes totales,6514000.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",6782000.0
Depreciación acumulada,3484000.0
"Propiedad neta, planta y equipo",3298000.0
Acciones y otras inversiones,413000.0
Valor llave,14387000.0
Activos intangibles,6003000.0
Otros activos a largo plazo,572000.0
Total de activos no corrientes,28621000.0
Activos totales,35136000.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Deuda corriente,531000.0
Cuentas a pagar,942000.0
Obligaciones devengadas,2440000.0
Ingresos diferidos,266000.0
Otros pasivos circulantes,328000.0
Pasivos circulantes totales,4933000.0
Obligaciones no corrientes,0.0
Deuda a largo plazo,8566000.0
Obligaciones de impuestos diferidas,134000.0
Ingresos diferidos,311000.0
Otras obligaciones a largo plazo,625000.0
Total de obligaciones no corrientes,10673000.0
Pasivos totales,15606000.0
Patrimonio neto,0.0
Acción ordinaria,17000.0
Ganancias retenidas,819000.0
Otro ingreso integral acumulado,49000.0
Total de patrimonio neto de los accionistas,19281000.0
Total de obligaciones y capital de los accionistas,35136000.0
