Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,1593000.0
Depreciación y amortización ,1196000.0
Impuestos sobre la renta diferidos,1000.0
Compensación con base en acciones,233000.0
Cambio en el capital circulante,770000.0
Cuentas por cobrar,238000.0
Inventario,660000.0
Cuentas a pagar,118000.0
Otro capital circulante,1703000.0
Otros artículos no monetarios,136000.0
Efectivo neto proporcionado por actividades en curso,2503000.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",800000.0
Adquisiciones netas,1811000.0
Compras de inversiones,0.0
Ventas/vencimientos de inversiones,2000.0
Otras actividades de inversión,1000.0
Efectivo neto usado para actividades de inversión,2574000.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,4000.0
Acción ordinaria emitida,0.0
Acción ordinaria readquirida,0.0
Dividendos pagados,28000.0
Otras actividades de financiación,89000.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,5000.0
Cambio neto en efectivo,70000.0
Efectivo al inicio del periodo,1126000.0
Efectivo al final del periodo,1055000.0
Flujo de caja libre,0.0
Flujo de caja operativo,2503000.0
Inversiones en bienes de capital,800000.0
Flujo de caja libre,1703000.0
