Descripcion,Valor
Ingresos totales,14240000.0
Costo de ganancias,4345000.0
Ganancia bruta,9895000.0
Gastos operativos,0.0
Investigación y desarrollo,1414000.0
Ventas: generales y administrativas,5190000.0
Gastos operativos totales,7478000.0
Ingresos o pérdidas operativos,2417000.0
Gastos de interés,265000.0
Valor neto total de otros gastos/ingresos,188000.0
Ingreso antes de impuestos,1985000.0
Impuesto a las ganancias,393000.0
Ingreso de operaciones continuas,1592000.0
Ingresos netos,1593000.0
Ingreso neto disponible para accionistas comunes,1570000.0
EPS básicas,1.08
BPA diluido,1.07
Promedio de acciones básicas,1453000.0
Promedio de acciones diluidas,1463500.0
