Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,17193000.0
Otras inversiones a corto plazo,2459000.0
Caja total,19652000.0
Cuentas pendientes netas,15532000.0
Otros activos circulantes,5572000.0
Activos corrientes totales,40756000.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",4815000.0
Depreciación acumulada,2400000.0
"Propiedad neta, planta y equipo",2415000.0
Acciones y otras inversiones,16286000.0
Valor llave,17558000.0
Activos intangibles,6101000.0
Otros activos a largo plazo,1525000.0
Total de activos no corrientes,43885000.0
Activos totales,84641000.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Deuda corriente,119000.0
Cuentas a pagar,16252000.0
Ingresos diferidos,715000.0
Otros pasivos circulantes,18000000.0
Pasivos circulantes totales,36716000.0
Obligaciones no corrientes,0.0
Deuda a largo plazo,17710000.0
Obligaciones de impuestos diferidas,641000.0
Otras obligaciones a largo plazo,2738000.0
Total de obligaciones no corrientes,21969000.0
Pasivos totales,58685000.0
Patrimonio neto,0.0
Acción ordinaria,1000.0
Ganancias retenidas,12043000.0
Otro ingreso integral acumulado,652000.0
Total de patrimonio neto de los accionistas,25840000.0
Total de obligaciones y capital de los accionistas,84641000.0
