Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,2702000.0
Depreciación y amortización ,1293000.0
Impuestos sobre la renta diferidos,78000.0
Compensación con base en acciones,216000.0
Cambio en el capital circulante,3374000.0
Cuentas por cobrar,2380000.0
Otro capital circulante,7254000.0
Otros artículos no monetarios,172000.0
Efectivo neto proporcionado por actividades en curso,8053000.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",799000.0
Adquisiciones netas,0.0
Compras de inversiones,6622000.0
Ventas/vencimientos de inversiones,5523000.0
Otras actividades de inversión,0.0
Efectivo neto usado para actividades de inversión,1191000.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,2316000.0
Acción ordinaria emitida,44000.0
Acción ordinaria readquirida,1633000.0
Otras actividades de financiación,88000.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,1658000.0
Cambio neto en efectivo,5172000.0
Efectivo al inicio del periodo,12330000.0
Efectivo al final del periodo,17452000.0
Flujo de caja libre,0.0
Flujo de caja operativo,8053000.0
Inversiones en bienes de capital,799000.0
Flujo de caja libre,7254000.0
