Descripcion,Valor
Ingresos totales,153999000.0
Costo de ganancias,136684000.0
Ganancia bruta,17315000.0
Gastos operativos,0.0
Ventas: generales y administrativas,12563000.0
Gastos operativos totales,13856000.0
Ingresos o pérdidas operativos,3459000.0
Gastos de interés,725000.0
Valor neto total de otros gastos/ingresos,864000.0
Ingreso antes de impuestos,3598000.0
Impuesto a las ganancias,899000.0
Ingreso de operaciones continuas,2699000.0
Ingresos netos,2702000.0
Ingreso neto disponible para accionistas comunes,2702000.0
EPS básicas,4.97
BPA diluido,4.95
Promedio de acciones básicas,543319.0
Promedio de acciones diluidas,545704.0
