Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,2592051.0
Caja total,2592051.0
Cuentas pendientes netas,20911081.0
Inventario,17454768.0
Otros activos circulantes,1763806.0
Activos corrientes totales,42798826.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",4739089.0
Depreciación acumulada,2603918.0
"Propiedad neta, planta y equipo",2135171.0
Valor llave,9574117.0
Activos intangibles,4431783.0
Otros activos a largo plazo,3418182.0
Total de activos no corrientes,19759920.0
Activos totales,62558746.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Deuda corriente,641344.0
Cuentas a pagar,45836037.0
Obligaciones devengadas,2353817.0
Otros pasivos circulantes,0.0
Pasivos circulantes totales,48831198.0
Obligaciones no corrientes,0.0
Deuda a largo plazo,4146113.0
Obligaciones de impuestos diferidas,1657944.0
Otras obligaciones a largo plazo,1884733.0
Total de obligaciones no corrientes,13061261.0
Pasivos totales,61892459.0
Patrimonio neto,0.0
Acción ordinaria,2948.0
Ganancias retenidas,4324187.0
Otro ingreso integral acumulado,1402607.0
Total de patrimonio neto de los accionistas,522003.0
Total de obligaciones y capital de los accionistas,62558746.0
