Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,1745293.0
Depreciación y amortización ,980848.0
Impuestos sobre la renta diferidos,118864.0
Compensación con base en acciones,124624.0
Cambio en el capital circulante,874542.0
Cuentas por cobrar,2711786.0
Inventario,2183368.0
Cuentas a pagar,6103451.0
Otro capital circulante,3452975.0
Otros artículos no monetarios,304126.0
Efectivo neto proporcionado por actividades en curso,3911334.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",458359.0
Adquisiciones netas,2153110.0
Compras de inversiones,0.0
Ventas/vencimientos de inversiones,0.0
Otras actividades de inversión,9004.0
Efectivo neto usado para actividades de inversión,2602465.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,78999244.0
Acción ordinaria emitida,0.0
Acción ordinaria readquirida,1180728.0
Dividendos pagados,398752.0
Otras actividades de financiación,80692.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,2222278.0
Cambio neto en efectivo,840650.0
Efectivo al inicio del periodo,3593539.0
Efectivo al final del periodo,2752889.0
Flujo de caja libre,0.0
Flujo de caja operativo,3911334.0
Inversiones en bienes de capital,458359.0
Flujo de caja libre,3452975.0
