Descripcion,Valor
Ingresos totales,262173411.0
Costo de ganancias,253213918.0
Ganancia bruta,8959493.0
Gastos operativos,0.0
Ventas: generales y administrativas,5309984.0
Gastos operativos totales,6273888.0
Ingresos o pérdidas operativos,2685605.0
Gastos de interés,275650.0
Valor neto total de otros gastos/ingresos,295838.0
Ingreso antes de impuestos,2160836.0
Impuesto a las ganancias,428260.0
Ingreso de operaciones continuas,1732576.0
Ingresos netos,1745293.0
Ingreso neto disponible para accionistas comunes,1745293.0
EPS básicas,8.62
BPA diluido,8.53
Promedio de acciones básicas,202511.0
Promedio de acciones diluidas,204591.0
