Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,1523.0
Caja total,1523.0
Cuentas pendientes netas,27281.0
Inventario,8347.0
Otros activos circulantes,137.0
Activos corrientes totales,41721.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",556404.0
Depreciación acumulada,138045.0
"Propiedad neta, planta y equipo",418359.0
Acciones y otras inversiones,0.0
Valor llave,423643.0
Activos intangibles,37297.0
Otros activos a largo plazo,289927.0
Total de activos no corrientes,1226331.0
Activos totales,1268052.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Deuda corriente,537.0
Cuentas a pagar,11866.0
Impuestos que se deben pagar,0.0
Obligaciones devengadas,10239.0
Ingresos diferidos,0.0
Otros pasivos circulantes,3382.0
Pasivos circulantes totales,51070.0
Obligaciones no corrientes,0.0
Deuda a largo plazo,579160.0
Obligaciones de impuestos diferidas,52127.0
Ingresos diferidos,100585.0
Otras obligaciones a largo plazo,84351.0
Total de obligaciones no corrientes,1043922.0
Pasivos totales,1094992.0
Patrimonio neto,0.0
Acción ordinaria,266.0
Ganancias retenidas,210256.0
Total de patrimonio neto de los accionistas,173060.0
Total de obligaciones y capital de los accionistas,1268052.0
