Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,33413.0
Depreciación y amortización ,22518.0
Impuestos sobre la renta diferidos,3307.0
Compensación con base en acciones,7703.0
Cambio en el capital circulante,4944.0
Cuentas por cobrar,8122.0
Inventario,72.0
Cuentas a pagar,169.0
Otro capital circulante,57551.0
Otros artículos no monetarios,871.0
Efectivo neto proporcionado por actividades en curso,75590.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",18039.0
Adquisiciones netas,44500.0
Otras actividades de inversión,1403.0
Efectivo neto usado para actividades de inversión,57004.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,98867.0
Acción ordinaria readquirida,0.0
Dividendos pagados,6708.0
Otras actividades de financiación,252.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,18233.0
Cambio neto en efectivo,353.0
Efectivo al inicio del periodo,1170.0
Efectivo al final del periodo,1523.0
Flujo de caja libre,0.0
Flujo de caja operativo,75590.0
Inversiones en bienes de capital,18039.0
Flujo de caja libre,57551.0
