Descripcion,Valor
Ingresos totales,382520.0
Costo de ganancias,258225.0
Ganancia bruta,124295.0
Gastos operativos,0.0
Ventas: generales y administrativas,42125.0
Gastos operativos totales,42125.0
Ingresos o pérdidas operativos,82170.0
Gastos de interés,36266.0
Valor neto total de otros gastos/ingresos,525.0
Ingreso antes de impuestos,46429.0
Impuesto a las ganancias,13016.0
Ingreso de operaciones continuas,33413.0
Ingresos netos,33413.0
Ingreso neto disponible para accionistas comunes,33107.0
EPS básicas,2.24
BPA diluido,2.14
Promedio de acciones básicas,14803.0
Promedio de acciones diluidas,15455.0
