Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,5864000.0
Caja total,5864000.0
Cuentas pendientes netas,3922000.0
Inventario,2594000.0
Otros activos circulantes,1557000.0
Activos corrientes totales,13937000.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",8379000.0
Depreciación acumulada,3826000.0
"Propiedad neta, planta y equipo",4553000.0
Valor llave,41608000.0
Activos intangibles,20746000.0
Otros activos a largo plazo,3644000.0
Total de activos no corrientes,70551000.0
Activos totales,84488000.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Deuda corriente,1695000.0
Cuentas a pagar,1766000.0
Obligaciones devengadas,0.0
Ingresos diferidos,1465000.0
Otros pasivos circulantes,1172000.0
Pasivos circulantes totales,8274000.0
Obligaciones no corrientes,0.0
Deuda a largo plazo,16707000.0
Ingresos diferidos,249000.0
Otras obligaciones a largo plazo,228000.0
Total de obligaciones no corrientes,22724000.0
Pasivos totales,30998000.0
Patrimonio neto,0.0
Acción ordinaria,9000.0
Ganancias retenidas,41074000.0
Otro ingreso integral acumulado,1748000.0
Total de patrimonio neto de los accionistas,53486000.0
Total de obligaciones y capital de los accionistas,84488000.0
