Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,4764000.0
Depreciación y amortización ,2166000.0
Compensación con base en acciones,306000.0
Cambio en el capital circulante,393000.0
Cuentas por cobrar,322000.0
Inventario,185000.0
Cuentas a pagar,149000.0
Otro capital circulante,5781000.0
Otros artículos no monetarios,8000.0
Efectivo neto proporcionado por actividades en curso,7164000.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",1383000.0
Adquisiciones netas,5610000.0
Compras de inversiones,172000.0
Ventas/vencimientos de inversiones,61000.0
Otras actividades de inversión,44000.0
Efectivo neto usado para actividades de inversión,7081000.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,620000.0
Acción ordinaria emitida,68000.0
Dividendos pagados,1248000.0
Otras actividades de financiación,2533000.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,273000.0
Cambio neto en efectivo,131000.0
Efectivo al inicio del periodo,5995000.0
Efectivo al final del periodo,5864000.0
Flujo de caja libre,0.0
Flujo de caja operativo,7164000.0
Inversiones en bienes de capital,1383000.0
Flujo de caja libre,5781000.0
