Descripcion,Valor
Ingresos totales,23890000.0
Costo de ganancias,9856000.0
Ganancia bruta,14034000.0
Gastos operativos,0.0
Investigación y desarrollo,1503000.0
Ventas: generales y administrativas,7252000.0
Gastos operativos totales,8755000.0
Ingresos o pérdidas operativos,5279000.0
Gastos de interés,286000.0
Valor neto total de otros gastos/ingresos,252000.0
Ingreso antes de impuestos,5044000.0
Impuesto a las ganancias,823000.0
Ingreso de operaciones continuas,4221000.0
Ingresos netos,4764000.0
Ingreso neto disponible para accionistas comunes,4743000.0
EPS básicas,6.44
BPA diluido,6.38
Promedio de acciones básicas,736500.0
Promedio de acciones diluidas,743100.0
