Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,566300.0
Otras inversiones a corto plazo,2157800.0
Caja total,2724100.0
Cuentas pendientes netas,973900.0
Inventario,559600.0
Otros activos circulantes,49300.0
Activos corrientes totales,4425900.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",1693900.0
Depreciación acumulada,509400.0
"Propiedad neta, planta y equipo",1184500.0
Acciones y otras inversiones,38500.0
Valor llave,25200.0
Activos intangibles,134500.0
Otros activos a largo plazo,22100.0
Total de activos no corrientes,1838600.0
Activos totales,6264500.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Deuda corriente,0.0
Cuentas a pagar,276400.0
Impuestos que se deben pagar,7500.0
Obligaciones devengadas,1143600.0
Ingresos diferidos,18400.0
Otros pasivos circulantes,0.0
Pasivos circulantes totales,1556000.0
Obligaciones no corrientes,0.0
Deuda a largo plazo,2434200.0
Obligaciones de impuestos diferidas,0.0
Ingresos diferidos,7400.0
Otras obligaciones a largo plazo,5200.0
Total de obligaciones no corrientes,2639900.0
Pasivos totales,4195900.0
Patrimonio neto,0.0
Acción ordinaria,400.0
Ganancias retenidas,1021400.0
Otro ingreso integral acumulado,16700.0
Total de patrimonio neto de los accionistas,2068600.0
Total de obligaciones y capital de los accionistas,6264500.0
