Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,541500.0
Depreciación y amortización ,186000.0
Impuestos sobre la renta diferidos,55000.0
Compensación con base en acciones,150800.0
Cambio en el capital circulante,3200.0
Cuentas por cobrar,260100.0
Inventario,252600.0
Cuentas a pagar,466500.0
Otro capital circulante,511900.0
Otros artículos no monetarios,76100.0
Efectivo neto proporcionado por actividades en curso,748500.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",236600.0
Adquisiciones netas,0.0
Compras de inversiones,3200400.0
Ventas/vencimientos de inversiones,2947400.0
Otras actividades de inversión,17600.0
Efectivo neto usado para actividades de inversión,507200.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,787300.0
Acción ordinaria emitida,26600.0
Acción ordinaria readquirida,688700.0
Otras actividades de financiación,99800.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,318600.0
Cambio neto en efectivo,75800.0
Efectivo al inicio del periodo,643300.0
Efectivo al final del periodo,567500.0
Flujo de caja libre,0.0
Flujo de caja operativo,748500.0
Inversiones en bienes de capital,236600.0
Flujo de caja libre,511900.0
