Descripcion,Valor
Ingresos totales,3622300.0
Costo de ganancias,1333400.0
Ganancia bruta,2288900.0
Gastos operativos,0.0
Investigación y desarrollo,505800.0
Ventas: generales y administrativas,1185400.0
Gastos operativos totales,1691200.0
Ingresos o pérdidas operativos,597700.0
Gastos de interés,20300.0
Valor neto total de otros gastos/ingresos,2000.0
Ingreso antes de impuestos,710400.0
Impuesto a las ganancias,168900.0
Ingreso de operaciones continuas,541500.0
Ingresos netos,541500.0
Ingreso neto disponible para accionistas comunes,541500.0
EPS básicas,1.4
BPA diluido,1.3
Promedio de acciones básicas,386000.0
Promedio de acciones diluidas,425500.0
