Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,1144000.0
Otras inversiones a corto plazo,500500.0
Caja total,1644500.0
Cuentas pendientes netas,775100.0
Inventario,1168200.0
Otros activos circulantes,239300.0
Activos corrientes totales,4035700.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",2700800.0
Depreciación acumulada,857400.0
"Propiedad neta, planta y equipo",1843400.0
Acciones y otras inversiones,583900.0
Valor llave,1253500.0
Activos intangibles,428400.0
Otros activos a largo plazo,463700.0
Total de activos no corrientes,5327500.0
Activos totales,9363200.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Cuentas a pagar,201400.0
Obligaciones devengadas,448100.0
Otros pasivos circulantes,15200.0
Pasivos circulantes totales,1195400.0
Obligaciones no corrientes,0.0
Deuda a largo plazo,597000.0
Otras obligaciones a largo plazo,264300.0
Total de obligaciones no corrientes,1448400.0
Pasivos totales,2643800.0
Patrimonio neto,0.0
Acción ordinaria,650500.0
Ganancias retenidas,8992400.0
Otro ingreso integral acumulado,242800.0
Total de patrimonio neto de los accionistas,6650000.0
Total de obligaciones y capital de los accionistas,9363200.0
