Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,1402400.0
Depreciación y amortización ,144900.0
Impuestos sobre la renta diferidos,272100.0
Compensación con base en acciones,139400.0
Cambio en el capital circulante,526300.0
Inventario,289000.0
Cuentas a pagar,146000.0
Otro capital circulante,629500.0
Otros artículos no monetarios,10400.0
Efectivo neto proporcionado por actividades en curso,895800.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",266300.0
Adquisiciones netas,95200.0
Compras de inversiones,105500.0
Ventas/vencimientos de inversiones,715800.0
Otras actividades de inversión,75000.0
Efectivo neto usado para actividades de inversión,173800.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,300.0
Acción ordinaria emitida,0.0
Acción ordinaria readquirida,879600.0
Otras actividades de financiación,1000.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,711000.0
Cambio neto en efectivo,375400.0
Efectivo al inicio del periodo,772600.0
Efectivo al final del periodo,1148000.0
Flujo de caja libre,0.0
Flujo de caja operativo,895800.0
Inversiones en bienes de capital,266300.0
Flujo de caja libre,629500.0
