Descripcion,Valor
Ingresos totales,6004800.0
Costo de ganancias,1379800.0
Ganancia bruta,4625000.0
Gastos operativos,0.0
Investigación y desarrollo,1071800.0
Ventas: generales y administrativas,1823400.0
Gastos operativos totales,2895200.0
Ingresos o pérdidas operativos,1729800.0
Gastos de interés,17600.0
Valor neto total de otros gastos/ingresos,181300.0
Ingreso antes de impuestos,1598100.0
Impuesto a las ganancias,198700.0
Ingreso de operaciones continuas,1399400.0
Ingresos netos,1402400.0
Ingreso neto disponible para accionistas comunes,1402400.0
EPS básicas,2.31
BPA diluido,2.3
Promedio de acciones básicas,606700.0
Promedio de acciones diluidas,609400.0
