Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,2494000.0
Caja total,2494000.0
Cuentas pendientes netas,3339000.0
Inventario,1960000.0
Otros activos circulantes,61000.0
Activos corrientes totales,9410000.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",5564000.0
Depreciación acumulada,3064000.0
"Propiedad neta, planta y equipo",2500000.0
Acciones y otras inversiones,357000.0
Valor llave,12936000.0
Activos intangibles,1253000.0
Otros activos a largo plazo,338000.0
Total de activos no corrientes,23044000.0
Activos totales,32454000.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Deuda corriente,1006000.0
Cuentas a pagar,2947000.0
Obligaciones devengadas,219000.0
Ingresos diferidos,1918000.0
Otros pasivos circulantes,951000.0
Pasivos circulantes totales,8981000.0
Obligaciones no corrientes,0.0
Deuda a largo plazo,8436000.0
Obligaciones de impuestos diferidas,68000.0
Ingresos diferidos,705000.0
Otras obligaciones a largo plazo,460000.0
Total de obligaciones no corrientes,16163000.0
Pasivos totales,25144000.0
Patrimonio neto,0.0
Acción ordinaria,5000.0
Ganancias retenidas,1326000.0
Otro ingreso integral acumulado,691000.0
Total de patrimonio neto de los accionistas,7133000.0
Total de obligaciones y capital de los accionistas,32454000.0
