Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,1568000.0
Depreciación y amortización ,610000.0
Impuestos sobre la renta diferidos,743000.0
Compensación con base en acciones,114000.0
Cambio en el capital circulante,131000.0
Cuentas por cobrar,185000.0
Inventario,111000.0
Cuentas a pagar,13000.0
Otro capital circulante,1714000.0
Otros artículos no monetarios,310000.0
Efectivo neto proporcionado por actividades en curso,2101000.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",387000.0
Adquisiciones netas,147000.0
Otras actividades de inversión,25000.0
Efectivo neto usado para actividades de inversión,558000.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,855000.0
Dividendos pagados,41000.0
Otras actividades de financiación,1576000.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,478000.0
Cambio neto en efectivo,1055000.0
Efectivo al inicio del periodo,1451000.0
Efectivo al final del periodo,2506000.0
Flujo de caja libre,0.0
Flujo de caja operativo,2101000.0
Inversiones en bienes de capital,387000.0
Flujo de caja libre,1714000.0
