Descripcion,Valor
Ingresos totales,19552000.0
Costo de ganancias,11630000.0
Ganancia bruta,7922000.0
Gastos operativos,0.0
Investigación y desarrollo,1205000.0
Ventas: generales y administrativas,4282000.0
Gastos operativos totales,5487000.0
Ingresos o pérdidas operativos,2435000.0
Gastos de interés,542000.0
Valor neto total de otros gastos/ingresos,442000.0
Ingreso antes de impuestos,2361000.0
Impuesto a las ganancias,743000.0
Ingreso de operaciones continuas,1618000.0
Ingresos netos,1568000.0
Ingreso neto disponible para accionistas comunes,1385000.0
EPS básicas,3.05
BPA diluido,3.03
Promedio de acciones básicas,455000.0
Promedio de acciones diluidas,458000.0
