Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,6085000.0
Otras inversiones a corto plazo,1179000.0
Caja total,7264000.0
Cuentas pendientes netas,4660000.0
Inventario,1787000.0
Otros activos circulantes,2374000.0
Activos corrientes totales,16085000.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",7766000.0
Depreciación acumulada,2449000.0
"Propiedad neta, planta y equipo",5317000.0
Acciones y otras inversiones,1163000.0
Valor llave,8314000.0
Activos intangibles,26454000.0
Otros activos a largo plazo,4792000.0
Total de activos no corrientes,46040000.0
Activos totales,62125000.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Deuda corriente,1798000.0
Cuentas a pagar,550000.0
Impuestos que se deben pagar,1208000.0
Obligaciones devengadas,3802000.0
Otros pasivos circulantes,2334000.0
Pasivos circulantes totales,11280000.0
Obligaciones no corrientes,0.0
Deuda a largo plazo,23189000.0
Obligaciones de impuestos diferidas,1588000.0
Otras obligaciones a largo plazo,1280000.0
Total de obligaciones no corrientes,28096000.0
Pasivos totales,39376000.0
Patrimonio neto,0.0
Acción ordinaria,1000.0
Ganancias retenidas,16304000.0
Otro ingreso integral acumulado,28000.0
Total de patrimonio neto de los accionistas,22833000.0
Total de obligaciones y capital de los accionistas,62125000.0
