Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,5665000.0
Depreciación y amortización ,2693000.0
Impuestos sobre la renta diferidos,962000.0
Compensación con base en acciones,766000.0
Cambio en el capital circulante,2303000.0
Cuentas por cobrar,157000.0
Inventario,842000.0
Cuentas a pagar,347000.0
Otro capital circulante,7421000.0
Otros artículos no monetarios,1982000.0
Efectivo neto proporcionado por actividades en curso,8006000.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",585000.0
Adquisiciones netas,1152000.0
Compras de inversiones,2372000.0
Ventas/vencimientos de inversiones,1844000.0
Otras actividades de inversión,0.0
Efectivo neto usado para actividades de inversión,2265000.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,2250000.0
Acción ordinaria emitida,232000.0
Acción ordinaria readquirida,1000000.0
Dividendos pagados,3809000.0
Otras actividades de financiación,278000.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,5126000.0
Cambio neto en efectivo,673000.0
Efectivo al inicio del periodo,5412000.0
Efectivo al final del periodo,6085000.0
Flujo de caja libre,0.0
Flujo de caja operativo,8006000.0
Inversiones en bienes de capital,585000.0
Flujo de caja libre,7421000.0
