Descripcion,Valor
Ingresos totales,27116000.0
Costo de ganancias,6498000.0
Ganancia bruta,20618000.0
Gastos operativos,0.0
Investigación y desarrollo,5718000.0
Ventas: generales y administrativas,6090000.0
Gastos operativos totales,11808000.0
Ingresos o pérdidas operativos,8810000.0
Gastos de interés,944000.0
Valor neto total de otros gastos/ingresos,1007000.0
Ingreso antes de impuestos,6859000.0
Impuesto a las ganancias,1247000.0
Ingreso de operaciones continuas,5612000.0
Ingresos netos,5665000.0
Ingreso neto disponible para accionistas comunes,5665000.0
EPS básicas,4.54
BPA diluido,4.5
Promedio de acciones básicas,1248000.0
Promedio de acciones diluidas,1258000.0
