Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,935000.0
Caja total,935000.0
Cuentas pendientes netas,9958000.0
Inventario,2021000.0
Otros activos circulantes,2013000.0
Activos corrientes totales,14927000.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",60755000.0
Depreciación acumulada,30833000.0
"Propiedad neta, planta y equipo",29922000.0
Acciones y otras inversiones,1233000.0
Otros activos a largo plazo,184000.0
Total de activos no corrientes,41284000.0
Activos totales,56211000.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Deuda corriente,2424000.0
Cuentas a pagar,4233000.0
Obligaciones devengadas,4386000.0
Pasivos circulantes totales,12655000.0
Obligaciones no corrientes,0.0
Deuda a largo plazo,37169000.0
Otras obligaciones a largo plazo,1557000.0
Total de obligaciones no corrientes,42496000.0
Pasivos totales,55151000.0
Patrimonio neto,0.0
Acción ordinaria,3000.0
Ganancias retenidas,1352000.0
Otro ingreso integral acumulado,425000.0
Total de patrimonio neto de los accionistas,1774000.0
Total de obligaciones y capital de los accionistas,56211000.0
