Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,5242000.0
Depreciación y amortización ,3077000.0
Impuestos sobre la renta diferidos,229000.0
Compensación con base en acciones,262000.0
Cambio en el capital circulante,457000.0
Cuentas por cobrar,935000.0
Inventario,126000.0
Otro capital circulante,4687000.0
Otros artículos no monetarios,224000.0
Efectivo neto proporcionado por actividades en curso,9431000.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",4744000.0
Adquisiciones netas,635000.0
Otras actividades de inversión,19000.0
Efectivo neto usado para actividades de inversión,5317000.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,909000.0
Acción ordinaria readquirida,3811000.0
Dividendos pagados,661000.0
Otras actividades de financiación,917000.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,4094000.0
Cambio neto en efectivo,27000.0
Efectivo al inicio del periodo,908000.0
Efectivo al final del periodo,935000.0
Flujo de caja libre,0.0
Flujo de caja operativo,9431000.0
Inversiones en bienes de capital,4744000.0
Flujo de caja libre,4687000.0
