Descripcion,Valor
Ingresos totales,64968000.0
Costo de ganancias,9902000.0
Ganancia bruta,55066000.0
Gastos operativos,0.0
Ventas: generales y administrativas,29487000.0
Gastos operativos totales,45439000.0
Ingresos o pérdidas operativos,9627000.0
Gastos de interés,1938000.0
Valor neto total de otros gastos/ingresos,17000.0
Ingreso antes de impuestos,7706000.0
Impuesto a las ganancias,1615000.0
Ingreso de operaciones continuas,6091000.0
Ingresos netos,5242000.0
Ingreso neto disponible para accionistas comunes,5242000.0
EPS básicas,19.25
BPA diluido,18.97
Promedio de acciones básicas,272404.0
Promedio de acciones diluidas,276412.0
