Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,453932.0
Caja total,453932.0
Cuentas pendientes netas,457445.0
Inventario,380282.0
Otros activos circulantes,29061.0
Activos corrientes totales,1495254.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",1602493.0
Depreciación acumulada,784817.0
"Propiedad neta, planta y equipo",817676.0
Acciones y otras inversiones,56193.0
Valor llave,365961.0
Activos intangibles,84500.0
Otros activos a largo plazo,50164.0
Total de activos no corrientes,1764671.0
Activos totales,3259925.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Deuda corriente,324997.0
Cuentas a pagar,110643.0
Obligaciones devengadas,197982.0
Ingresos diferidos,37195.0
Pasivos circulantes totales,951547.0
Obligaciones no corrientes,0.0
Deuda a largo plazo,622883.0
Obligaciones de impuestos diferidas,7235.0
Ingresos diferidos,28533.0
Total de obligaciones no corrientes,823848.0
Pasivos totales,1775395.0
Patrimonio neto,0.0
Acción ordinaria,10751.0
Ganancias retenidas,4444571.0
Otro ingreso integral acumulado,71206.0
Total de patrimonio neto de los accionistas,1484530.0
Total de obligaciones y capital de los accionistas,3259925.0
