Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,845042.0
Depreciación y amortización ,114908.0
Impuestos sobre la renta diferidos,48306.0
Compensación con base en acciones,59739.0
Cambio en el capital circulante,72429.0
Cuentas por cobrar,53871.0
Inventario,28651.0
Cuentas a pagar,557.0
Otro capital circulante,772879.0
Otros artículos no monetarios,520.0
Efectivo neto proporcionado por actividades en curso,906510.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",133631.0
Adquisiciones netas,0.0
Ventas/vencimientos de inversiones,8377.0
Efectivo neto usado para actividades de inversión,125254.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,75000.0
Acción ordinaria readquirida,71920.0
Otras actividades de financiación,13110.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,441996.0
Cambio neto en efectivo,341386.0
Efectivo al inicio del periodo,112546.0
Efectivo al final del periodo,453932.0
Flujo de caja libre,0.0
Flujo de caja operativo,906510.0
Inversiones en bienes de capital,133631.0
Flujo de caja libre,772879.0
