Descripcion,Valor
Ingresos totales,3660953.0
Costo de ganancias,1470983.0
Ganancia bruta,2189970.0
Gastos operativos,0.0
Investigación y desarrollo,190951.0
Ventas: generales y administrativas,901891.0
Gastos operativos totales,1092842.0
Ingresos o pérdidas operativos,1097128.0
Gastos de interés,41581.0
Ingreso antes de impuestos,1061176.0
Impuesto a las ganancias,216134.0
Ingreso de operaciones continuas,845042.0
Ingresos netos,845042.0
Ingreso neto disponible para accionistas comunes,845042.0
EPS básicas,10.17
BPA diluido,10.06
Promedio de acciones básicas,83066.0
Promedio de acciones diluidas,83978.0
