Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,1376000.0
Otras inversiones a corto plazo,120000.0
Caja total,1496000.0
Cuentas pendientes netas,1473000.0
Otros activos circulantes,546000.0
Activos corrientes totales,5596000.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",1622000.0
Depreciación acumulada,803000.0
"Propiedad neta, planta y equipo",819000.0
Acciones y otras inversiones,239000.0
Valor llave,14567000.0
Activos intangibles,4839000.0
Otros activos a largo plazo,455000.0
Total de activos no corrientes,21085000.0
Activos totales,26681000.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Deuda corriente,718000.0
Cuentas a pagar,709000.0
Impuestos que se deben pagar,116000.0
Obligaciones devengadas,1887000.0
Ingresos diferidos,1799000.0
Otros pasivos circulantes,294000.0
Pasivos circulantes totales,6491000.0
Obligaciones no corrientes,0.0
Deuda a largo plazo,12955000.0
Obligaciones de impuestos diferidas,202000.0
Otras obligaciones a largo plazo,698000.0
Total de obligaciones no corrientes,14078000.0
Pasivos totales,20569000.0
Patrimonio neto,0.0
Acción ordinaria,11028000.0
Ganancias retenidas,4692000.0
Otro ingreso integral acumulado,867000.0
Total de patrimonio neto de los accionistas,6112000.0
Total de obligaciones y capital de los accionistas,26681000.0
