Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,1358000.0
Depreciación y amortización ,1125000.0
Impuestos sobre la renta diferidos,269000.0
Compensación con base en acciones,217000.0
Cambio en el capital circulante,280000.0
Cuentas por cobrar,0.0
Cuentas a pagar,267000.0
Otro capital circulante,1500000.0
Otros artículos no monetarios,18000.0
Efectivo neto proporcionado por actividades en curso,2149000.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",649000.0
Adquisiciones netas,915000.0
Compras de inversiones,44000.0
Ventas/vencimientos de inversiones,0.0
Otras actividades de inversión,5000.0
Efectivo neto usado para actividades de inversión,1603000.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,5582000.0
Acción ordinaria readquirida,992000.0
Otras actividades de financiación,131000.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,382000.0
Cambio neto en efectivo,160000.0
Efectivo al inicio del periodo,1216000.0
Efectivo al final del periodo,1376000.0
Flujo de caja libre,0.0
Flujo de caja operativo,2149000.0
Inversiones en bienes de capital,649000.0
Flujo de caja libre,1500000.0
