Descripcion,Valor
Ingresos totales,14984000.0
Costo de ganancias,9745000.0
Ganancia bruta,5239000.0
Gastos operativos,0.0
Ventas: generales y administrativas,2053000.0
Gastos operativos totales,3178000.0
Ingresos o pérdidas operativos,2061000.0
Gastos de interés,672000.0
Valor neto total de otros gastos/ingresos,34000.0
Ingreso antes de impuestos,1459000.0
Impuesto a las ganancias,101000.0
Ingreso de operaciones continuas,1358000.0
Ingresos netos,1358000.0
Ingreso neto disponible para accionistas comunes,1358000.0
EPS básicas,7.39
BPA diluido,7.29
Promedio de acciones básicas,183800.0
Promedio de acciones diluidas,186300.0
