Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,21859000.0
Otras inversiones a corto plazo,1068000.0
Caja total,22927000.0
Cuentas pendientes netas,14873000.0
Inventario,11181000.0
Otros activos circulantes,0.0
Activos corrientes totales,53495000.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",47776000.0
Depreciación acumulada,27878000.0
"Propiedad neta, planta y equipo",19898000.0
Valor llave,36558000.0
Activos intangibles,34175000.0
Otros activos a largo plazo,14153000.0
Total de activos no corrientes,114063000.0
Activos totales,167558000.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Deuda corriente,3451000.0
Cuentas a pagar,9632000.0
Impuestos que se deben pagar,2993000.0
Obligaciones devengadas,26213000.0
Otros pasivos circulantes,0.0
Pasivos circulantes totales,46282000.0
Obligaciones no corrientes,0.0
Deuda a largo plazo,25881000.0
Obligaciones de impuestos diferidas,3193000.0
Otras obligaciones a largo plazo,13398000.0
Total de obligaciones no corrientes,52502000.0
Pasivos totales,98784000.0
Patrimonio neto,0.0
Acción ordinaria,3120000.0
Ganancias retenidas,153843000.0
Otro ingreso integral acumulado,12527000.0
Total de patrimonio neto de los accionistas,68774000.0
Total de obligaciones y capital de los accionistas,167558000.0
