Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,35153000.0
Depreciación y amortización ,7486000.0
Impuestos sobre la renta diferidos,4194000.0
Compensación con base en acciones,1162000.0
Cambio en el capital circulante,2507000.0
Cuentas por cobrar,624000.0
Inventario,1323000.0
Otro capital circulante,17778000.0
Otros artículos no monetarios,483000.0
Efectivo neto proporcionado por actividades en curso,22791000.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",5013000.0
Adquisiciones netas,0.0
Compras de inversiones,10906000.0
Ventas/vencimientos de inversiones,19390000.0
Otras actividades de inversión,2593000.0
Efectivo neto usado para actividades de inversión,878000.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,24524000.0
Acción ordinaria emitida,4241000.0
Acción ordinaria readquirida,5054000.0
Dividendos pagados,11770000.0
Otras actividades de financiación,1602000.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,15825000.0
Cambio neto en efectivo,7732000.0
Efectivo al inicio del periodo,14127000.0
Efectivo al final del periodo,21859000.0
Flujo de caja libre,0.0
Flujo de caja operativo,22791000.0
Inversiones en bienes de capital,5013000.0
Flujo de caja libre,17778000.0
