Descripcion,Valor
Ingresos totales,85159000.0
Costo de ganancias,26553000.0
Ganancia bruta,58606000.0
Gastos operativos,0.0
Investigación y desarrollo,15085000.0
Ventas: generales y administrativas,20112000.0
Gastos operativos totales,35197000.0
Ingresos o pérdidas operativos,23409000.0
Gastos de interés,772000.0
Valor neto total de otros gastos/ingresos,8802000.0
Ingreso antes de impuestos,15062000.0
Impuesto a las ganancias,1736000.0
Ingreso de operaciones continuas,13326000.0
Ingresos netos,35153000.0
Ingreso neto disponible para accionistas comunes,35153000.0
EPS básicas,13.88
BPA diluido,13.72
Promedio de acciones básicas,2533500.0
Promedio de acciones diluidas,2560400.0
