Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,2818600.0
Otras inversiones a corto plazo,109100.0
Caja total,2927700.0
Cuentas pendientes netas,9090500.0
Inventario,5772800.0
Otros activos circulantes,149500.0
Activos corrientes totales,25727000.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",24012900.0
Depreciación acumulada,11099300.0
"Propiedad neta, planta y equipo",12913600.0
Acciones y otras inversiones,3052200.0
Valor llave,4939700.0
Activos intangibles,6906600.0
Otros activos a largo plazo,4989900.0
Total de activos no corrientes,38279300.0
Activos totales,64006300.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Deuda corriente,6904500.0
Cuentas a pagar,2598800.0
Impuestos que se deben pagar,0.0
Obligaciones devengadas,11689000.0
Otros pasivos circulantes,3281300.0
Pasivos circulantes totales,27293200.0
Obligaciones no corrientes,0.0
Deuda a largo plazo,18320800.0
Obligaciones de impuestos diferidas,0.0
Otras obligaciones a largo plazo,2240600.0
Total de obligaciones no corrientes,25849400.0
Pasivos totales,53142600.0
Patrimonio neto,0.0
Acción ordinaria,593600.0
Ganancias retenidas,10312300.0
Otro ingreso integral acumulado,4327000.0
Total de patrimonio neto de los accionistas,10771900.0
Total de obligaciones y capital de los accionistas,64006300.0
