Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,5240400.0
Depreciación y amortización ,1527300.0
Impuestos sobre la renta diferidos,2341000.0
Compensación con base en acciones,628500.0
Cambio en el capital circulante,3055000.0
Inventario,1425000.0
Cuentas a pagar,4274400.0
Otro capital circulante,3152000.0
Otros artículos no monetarios,4095300.0
Efectivo neto proporcionado por actividades en curso,4240100.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",7392100.0
Adquisiciones netas,1044300.0
Compras de inversiones,829000.0
Ventas/vencimientos de inversiones,700300.0
Otras actividades de inversión,191900.0
Efectivo neto usado para actividades de inversión,7152700.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,0.0
Acción ordinaria readquirida,750000.0
Dividendos pagados,4069300.0
Otras actividades de financiación,335000.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,3495600.0
Cambio neto en efectivo,751600.0
Efectivo al inicio del periodo,2067000.0
Efectivo al final del periodo,2818600.0
Flujo de caja libre,0.0
Flujo de caja operativo,4240100.0
Inversiones en bienes de capital,7392100.0
Flujo de caja libre,3152000.0
