Descripcion,Valor
Ingresos totales,34124100.0
Costo de ganancias,7082200.0
Ganancia bruta,27041900.0
Gastos operativos,0.0
Investigación y desarrollo,9313400.0
Ventas: generales y administrativas,6941200.0
Gastos operativos totales,16254600.0
Ingresos o pérdidas operativos,10787300.0
Gastos de interés,485900.0
Valor neto total de otros gastos/ingresos,3920400.0
Ingreso antes de impuestos,6554600.0
Impuesto a las ganancias,1314200.0
Ingreso de operaciones continuas,5240400.0
Ingresos netos,5240400.0
Ingreso neto disponible para accionistas comunes,5240400.0
EPS básicas,5.82
BPA diluido,5.8
Promedio de acciones básicas,900181.0
Promedio de acciones diluidas,903284.0
