Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,4583000.0
Caja total,4583000.0
Cuentas pendientes netas,19439000.0
Inventario,21139000.0
Otros activos circulantes,626000.0
Activos corrientes totales,47970000.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",6512000.0
Depreciación acumulada,2467000.0
"Propiedad neta, planta y equipo",4045000.0
Acciones y otras inversiones,0.0
Valor llave,10132000.0
Activos intangibles,2110000.0
Otros activos a largo plazo,3186000.0
Total de activos no corrientes,19473000.0
Activos totales,67443000.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Deuda corriente,50000.0
Cuentas a pagar,47097000.0
Obligaciones devengadas,4915000.0
Otros pasivos circulantes,0.0
Pasivos circulantes totales,52357000.0
Obligaciones no corrientes,0.0
Deuda a largo plazo,5579000.0
Obligaciones de impuestos diferidas,917000.0
Otras obligaciones a largo plazo,8723000.0
Total de obligaciones no corrientes,16685000.0
Pasivos totales,69042000.0
Patrimonio neto,0.0
Acción ordinaria,3000.0
Ganancias retenidas,14978000.0
Otro ingreso integral acumulado,881000.0
Total de patrimonio neto de los accionistas,1971000.0
Total de obligaciones y capital de los accionistas,67443000.0
