Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,3002000.0
Depreciación y amortización ,635000.0
Impuestos sobre la renta diferidos,603000.0
Cambio en el capital circulante,64000.0
Inventario,1294000.0
Otro capital circulante,3627000.0
Otros artículos no monetarios,341000.0
Efectivo neto proporcionado por actividades en curso,4314000.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",687000.0
Adquisiciones netas,272000.0
Otras actividades de inversión,160000.0
Efectivo neto usado para actividades de inversión,1072000.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,20899000.0
Acción ordinaria emitida,116000.0
Acción ordinaria readquirida,3025000.0
Dividendos pagados,314000.0
Otras actividades de financiación,175000.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,3342000.0
Cambio neto en efectivo,94000.0
Efectivo al inicio del periodo,4679000.0
Efectivo al final del periodo,4583000.0
Flujo de caja libre,0.0
Flujo de caja operativo,4314000.0
Inversiones en bienes de capital,687000.0
Flujo de caja libre,3627000.0
