Descripcion,Valor
Ingresos totales,308951000.0
Costo de ganancias,296123000.0
Ganancia bruta,12828000.0
Gastos operativos,0.0
Investigación y desarrollo,0.0
Ventas: generales y administrativas,8657000.0
Gastos operativos totales,8657000.0
Ingresos o pérdidas operativos,4171000.0
Gastos de interés,252000.0
Valor neto total de otros gastos/ingresos,248000.0
Ingreso antes de impuestos,3789000.0
Impuesto a las ganancias,629000.0
Ingreso de operaciones continuas,3160000.0
Ingresos netos,3002000.0
Ingreso neto disponible para accionistas comunes,3002000.0
EPS básicas,22.54
BPA diluido,22.39
Promedio de acciones básicas,133200.0
Promedio de acciones diluidas,134100.0
