Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,1543000.0
Otras inversiones a corto plazo,6416000.0
Caja total,7959000.0
Cuentas pendientes netas,5998000.0
Inventario,5293000.0
Otros activos circulantes,2425000.0
Activos corrientes totales,21675000.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",14062000.0
Depreciación acumulada,8493000.0
"Propiedad neta, planta y equipo",5569000.0
Valor llave,41425000.0
Activos intangibles,14844000.0
Otros activos a largo plazo,3959000.0
Total de activos no corrientes,69274000.0
Activos totales,90948000.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Deuda corriente,13000.0
Cuentas a pagar,2662000.0
Impuestos que se deben pagar,840000.0
Obligaciones devengadas,3581000.0
Otros pasivos circulantes,1000.0
Pasivos circulantes totales,9051000.0
Obligaciones no corrientes,0.0
Deuda a largo plazo,24287000.0
Obligaciones de impuestos diferidas,708000.0
Otras obligaciones a largo plazo,1727000.0
Total de obligaciones no corrientes,30232000.0
Pasivos totales,39283000.0
Patrimonio neto,0.0
Acción ordinaria,0.0
Ganancias retenidas,30392000.0
Otro ingreso integral acumulado,3499000.0
Total de patrimonio neto de los accionistas,51483000.0
Total de obligaciones y capital de los accionistas,90948000.0
