Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,3758000.0
Depreciación y amortización ,2697000.0
Impuestos sobre la renta diferidos,226000.0
Compensación con base en acciones,355000.0
Cambio en el capital circulante,967000.0
Cuentas por cobrar,576000.0
Inventario,939000.0
Otro capital circulante,4580000.0
Otros artículos no monetarios,270000.0
Efectivo neto proporcionado por actividades en curso,6039000.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",1459000.0
Adquisiciones netas,1867000.0
Compras de inversiones,7514000.0
Ventas/vencimientos de inversiones,7343000.0
Otras actividades de inversión,4000.0
Efectivo neto usado para actividades de inversión,3493000.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,8291000.0
Acción ordinaria emitida,308000.0
Acción ordinaria readquirida,645000.0
Dividendos pagados,3616000.0
Otras actividades de financiación,409000.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,4960000.0
Cambio neto en efectivo,2171000.0
Efectivo al inicio del periodo,3714000.0
Efectivo al final del periodo,1543000.0
Flujo de caja libre,0.0
Flujo de caja operativo,6039000.0
Inversiones en bienes de capital,1459000.0
Flujo de caja libre,4580000.0
