Descripcion,Valor
Ingresos totales,31227000.0
Costo de ganancias,10719000.0
Ganancia bruta,20508000.0
Gastos operativos,0.0
Investigación y desarrollo,2696000.0
Ventas: generales y administrativas,10415000.0
Gastos operativos totales,14678000.0
Ingresos o pérdidas operativos,5830000.0
Gastos de interés,636000.0
Valor neto total de otros gastos/ingresos,170000.0
Ingreso antes de impuestos,5364000.0
Impuesto a las ganancias,1580000.0
Ingreso de operaciones continuas,3784000.0
Ingresos netos,3758000.0
Ingreso neto disponible para accionistas comunes,3758000.0
EPS básicas,2.83
BPA diluido,2.82
Promedio de acciones básicas,1329800.0
Promedio de acciones diluidas,1332800.0
