Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,6841000.0
Otras inversiones a corto plazo,252000.0
Caja total,7093000.0
Cuentas pendientes netas,10349000.0
Inventario,6358000.0
Otros activos circulantes,8368000.0
Activos corrientes totales,32168000.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",41317000.0
Depreciación acumulada,18266000.0
"Propiedad neta, planta y equipo",23051000.0
Acciones y otras inversiones,252000.0
Valor llave,21197000.0
Activos intangibles,18011000.0
Otros activos a largo plazo,11996000.0
Total de activos no corrientes,74507000.0
Activos totales,106675000.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Deuda corriente,1372000.0
Cuentas a pagar,3922000.0
Impuestos que se deben pagar,2649000.0
Obligaciones devengadas,15766000.0
Otros pasivos circulantes,0.0
Pasivos circulantes totales,25694000.0
Obligaciones no corrientes,0.0
Deuda a largo plazo,33683000.0
Obligaciones de impuestos diferidas,871000.0
Otras obligaciones a largo plazo,8792000.0
Total de obligaciones no corrientes,43346000.0
Pasivos totales,69040000.0
Patrimonio neto,0.0
Acción ordinaria,1788000.0
Ganancias retenidas,53895000.0
Otro ingreso integral acumulado,5161000.0
Total de patrimonio neto de los accionistas,37581000.0
Total de obligaciones y capital de los accionistas,106675000.0
