Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,365000.0
Depreciación y amortización ,3872000.0
Impuestos sobre la renta diferidos,1899000.0
Compensación con base en acciones,645000.0
Cambio en el capital circulante,2205000.0
Cuentas por cobrar,1148000.0
Inventario,816000.0
Cuentas a pagar,380000.0
Otro capital circulante,9143000.0
Otros artículos no monetarios,11764000.0
Efectivo neto proporcionado por actividades en curso,13006000.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",3863000.0
Adquisiciones netas,12032000.0
Compras de inversiones,955000.0
Ventas/vencimientos de inversiones,2803000.0
Otras actividades de inversión,36000.0
Efectivo neto usado para actividades de inversión,14083000.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,1755000.0
Acción ordinaria readquirida,1346000.0
Dividendos pagados,7445000.0
Otras actividades de financiación,328000.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,4810000.0
Cambio neto en efectivo,5864000.0
Efectivo al inicio del periodo,12773000.0
Efectivo al final del periodo,6909000.0
Flujo de caja libre,0.0
Flujo de caja operativo,13006000.0
Inversiones en bienes de capital,3863000.0
Flujo de caja libre,9143000.0
