Descripcion,Valor
Ingresos totales,60115000.0
Costo de ganancias,16126000.0
Ganancia bruta,43989000.0
Gastos operativos,0.0
Investigación y desarrollo,30531000.0
Ventas: generales y administrativas,10504000.0
Gastos operativos totales,41035000.0
Ingresos o pérdidas operativos,2954000.0
Gastos de interés,1146000.0
Valor neto total de otros gastos/ingresos,284000.0
Ingreso antes de impuestos,1889000.0
Impuesto a las ganancias,1512000.0
Ingreso de operaciones continuas,377000.0
Ingresos netos,365000.0
Ingreso neto disponible para accionistas comunes,365000.0
EPS básicas,0.14
BPA diluido,0.14
Promedio de acciones básicas,2537000.0
Promedio de acciones diluidas,2547000.0
