Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,69807.0
Caja total,69807.0
Cuentas pendientes netas,663893.0
Inventario,385865.0
Otros activos circulantes,110638.0
Activos corrientes totales,1230203.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",1507208.0
Depreciación acumulada,703834.0
"Propiedad neta, planta y equipo",803374.0
Valor llave,670108.0
Activos intangibles,285429.0
Otros activos a largo plazo,335242.0
Total de activos no corrientes,2125352.0
Activos totales,3355555.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Deuda corriente,192219.0
Cuentas a pagar,210411.0
Obligaciones devengadas,196138.0
Ingresos diferidos,202022.0
Pasivos circulantes totales,1181082.0
Obligaciones no corrientes,0.0
Deuda a largo plazo,1888620.0
Obligaciones de impuestos diferidas,108679.0
Otras obligaciones a largo plazo,327112.0
Total de obligaciones no corrientes,2324411.0
Pasivos totales,3505493.0
Patrimonio neto,0.0
Acción ordinaria,448.0
Ganancias retenidas,7510756.0
Otro ingreso integral acumulado,319815.0
Total de patrimonio neto de los accionistas,149938.0
Total de obligaciones y capital de los accionistas,3355555.0
