Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,788778.0
Depreciación y amortización ,121164.0
Impuestos sobre la renta diferidos,13373.0
Compensación con base en acciones,17928.0
Cambio en el capital circulante,51377.0
Cuentas por cobrar,50296.0
Inventario,71021.0
Cuentas a pagar,40554.0
Otro capital circulante,860551.0
Otros artículos no monetarios,0.0
Efectivo neto proporcionado por actividades en curso,965874.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",105323.0
Adquisiciones netas,5811.0
Otras actividades de inversión,21395.0
Efectivo neto usado para actividades de inversión,131694.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,2097023.0
Acción ordinaria readquirida,900000.0
Otras actividades de financiación,8593.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,859585.0
Cambio neto en efectivo,26159.0
Efectivo al inicio del periodo,95966.0
Efectivo al final del periodo,69807.0
Flujo de caja libre,0.0
Flujo de caja operativo,965874.0
Inversiones en bienes de capital,105323.0
Flujo de caja libre,860551.0
