Descripcion,Valor
Ingresos totales,3788309.0
Costo de ganancias,1547023.0
Ganancia bruta,2241286.0
Gastos operativos,0.0
Investigación y desarrollo,185284.0
Ventas: generales y administrativas,904106.0
Gastos operativos totales,1161603.0
Ingresos o pérdidas operativos,1079683.0
Gastos de interés,77366.0
Valor neto total de otros gastos/ingresos,28589.0
Ingreso antes de impuestos,973728.0
Impuesto a las ganancias,184950.0
Ingreso de operaciones continuas,788778.0
Ingresos netos,788778.0
Ingreso neto disponible para accionistas comunes,788778.0
EPS básicas,36.1
BPA diluido,35.9
Promedio de acciones básicas,21848.0
Promedio de acciones diluidas,21972.0
