Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,2119000.0
Depreciación y amortización ,6290000.0
Impuestos sobre la renta diferidos,3442000.0
Compensación con base en acciones,525000.0
Cambio en el capital circulante,2172000.0
Cuentas por cobrar,347000.0
Inventario,1169000.0
Cuentas a pagar,300000.0
Otro capital circulante,4793000.0
Otros artículos no monetarios,4280000.0
Efectivo neto proporcionado por actividades en curso,8700000.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",3907000.0
Adquisiciones netas,43430000.0
Compras de inversiones,31178000.0
Ventas/vencimientos de inversiones,46417000.0
Otras actividades de inversión,180000.0
Efectivo neto usado para actividades de inversión,32278000.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,2572000.0
Acción ordinaria readquirida,0.0
Dividendos pagados,9247000.0
Otras actividades de financiación,632000.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,26067000.0
Cambio neto en efectivo,2448000.0
Efectivo al inicio del periodo,468000.0
Efectivo al final del periodo,2917000.0
Flujo de caja libre,0.0
Flujo de caja operativo,8700000.0
Inversiones en bienes de capital,3907000.0
Flujo de caja libre,4793000.0
