Descripcion,Valor
Ingresos totales,58496000.0
Costo de ganancias,24954000.0
Ganancia bruta,33542000.0
Gastos operativos,0.0
Investigación y desarrollo,10679000.0
Ventas: generales y administrativas,14771000.0
Gastos operativos totales,30183000.0
Ingresos o pérdidas operativos,3359000.0
Gastos de interés,2209000.0
Valor neto total de otros gastos/ingresos,1716000.0
Ingreso antes de impuestos,1058000.0
Impuesto a las ganancias,1115000.0
Ingreso de operaciones continuas,2172000.0
Ingresos netos,2119000.0
Ingreso neto disponible para accionistas comunes,2119000.0
EPS básicas,0.38
BPA diluido,0.37
Promedio de acciones básicas,5643000.0
Promedio de acciones diluidas,5643000.0
