Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,2730000.0
Otras inversiones a corto plazo,8114800.0
Caja total,10844800.0
Cuentas pendientes netas,5667300.0
Inventario,2580500.0
Otros activos circulantes,386600.0
Activos corrientes totales,19479200.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",6125200.0
Depreciación acumulada,1978800.0
"Propiedad neta, planta y equipo",4146400.0
Acciones y otras inversiones,5396500.0
Activos intangibles,1038600.0
Otros activos a largo plazo,444100.0
Total de activos no corrientes,13601000.0
Activos totales,33080200.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Cuentas a pagar,606600.0
Impuestos que se deben pagar,0.0
Obligaciones devengadas,2357900.0
Ingresos diferidos,458900.0
Otros pasivos circulantes,0.0
Pasivos circulantes totales,3423400.0
Obligaciones no corrientes,0.0
Deuda a largo plazo,1982900.0
Ingresos diferidos,126700.0
Otras obligaciones a largo plazo,854100.0
Total de obligaciones no corrientes,3683700.0
Pasivos totales,7107100.0
Patrimonio neto,0.0
Acción ordinaria,100.0
Ganancias retenidas,27260300.0
Otro ingreso integral acumulado,80900.0
Total de patrimonio neto de los accionistas,25973100.0
Total de obligaciones y capital de los accionistas,33080200.0
