Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,3953600.0
Depreciación y amortización ,421000.0
Impuestos sobre la renta diferidos,837800.0
Compensación con base en acciones,885000.0
Cambio en el capital circulante,94100.0
Cuentas por cobrar,338800.0
Inventario,271700.0
Cuentas a pagar,598600.0
Otro capital circulante,3667600.0
Otros artículos no monetarios,100.0
Efectivo neto proporcionado por actividades en curso,4594000.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",926400.0
Adquisiciones netas,54900.0
Compras de inversiones,11646000.0
Ventas/vencimientos de inversiones,9442200.0
Otras actividades de inversión,0.0
Efectivo neto usado para actividades de inversión,3185100.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,0.0
Acción ordinaria emitida,1145500.0
Acción ordinaria readquirida,2935600.0
Otras actividades de financiación,0.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,1790100.0
Cambio neto en efectivo,381600.0
Efectivo al inicio del periodo,3119400.0
Efectivo al final del periodo,2737800.0
Flujo de caja libre,0.0
Flujo de caja operativo,4594000.0
Inversiones en bienes de capital,926400.0
Flujo de caja libre,3667600.0
