Descripcion,Valor
Ingresos totales,13117200.0
Costo de ganancias,1815800.0
Ganancia bruta,11301400.0
Gastos operativos,0.0
Investigación y desarrollo,4439000.0
Ventas: generales y administrativas,2631300.0
Gastos operativos totales,7068200.0
Ingresos o pérdidas operativos,4233200.0
Gastos de interés,73000.0
Valor neto total de otros gastos/ingresos,456800.0
Ingreso antes de impuestos,4199300.0
Impuesto a las ganancias,245700.0
Ingreso de operaciones continuas,3953600.0
Ingresos netos,3953600.0
Ingreso neto disponible para accionistas comunes,3953600.0
EPS básicas,37.05
BPA diluido,34.77
Promedio de acciones básicas,106700.0
Promedio de acciones diluidas,113700.0
