Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,227891.0
Caja total,227891.0
Cuentas pendientes netas,704909.0
Inventario,998012.0
Otros activos circulantes,179925.0
Activos corrientes totales,2367830.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",1333823.0
Depreciación acumulada,668012.0
"Propiedad neta, planta y equipo",665811.0
Valor llave,2770299.0
Activos intangibles,552341.0
Otros activos a largo plazo,262453.0
Total de activos no corrientes,4383878.0
Activos totales,6751708.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Deuda corriente,9902.0
Cuentas a pagar,150756.0
Impuestos que se deben pagar,72224.0
Obligaciones devengadas,332466.0
Ingresos diferidos,138072.0
Otros pasivos circulantes,9558.0
Pasivos circulantes totales,758533.0
Obligaciones no corrientes,0.0
Deuda a largo plazo,1431234.0
Obligaciones de impuestos diferidas,90650.0
Ingresos diferidos,119186.0
Otras obligaciones a largo plazo,68166.0
Total de obligaciones no corrientes,1863272.0
Pasivos totales,2621805.0
Patrimonio neto,0.0
Acción ordinaria,588.0
Ganancias retenidas,4253016.0
Otro ingreso integral acumulado,272528.0
Total de patrimonio neto de los accionistas,4129903.0
Total de obligaciones y capital de los accionistas,6751708.0
