Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,897556.0
Depreciación y amortización ,197562.0
Compensación con base en acciones,71142.0
Cambio en el capital circulante,462127.0
Cuentas por cobrar,106511.0
Inventario,248833.0
Cuentas a pagar,0.0
Otro capital circulante,559299.0
Otros artículos no monetarios,11050.0
Efectivo neto proporcionado por actividades en curso,693299.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",134000.0
Adquisiciones netas,1012749.0
Compras de inversiones,32229.0
Ventas/vencimientos de inversiones,19133.0
Efectivo neto usado para actividades de inversión,1159845.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,405000.0
Acción ordinaria emitida,49142.0
Acción ordinaria readquirida,0.0
Dividendos pagados,258276.0
Otras actividades de financiación,32992.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,422874.0
Cambio neto en efectivo,45819.0
Efectivo al inicio del periodo,273710.0
Efectivo al final del periodo,227891.0
Flujo de caja libre,0.0
Flujo de caja operativo,693299.0
Inversiones en bienes de capital,134000.0
Flujo de caja libre,559299.0
