Descripcion,Valor
Ingresos totales,4222993.0
Costo de ganancias,1867331.0
Ganancia bruta,2355662.0
Gastos operativos,0.0
Investigación y desarrollo,287642.0
Ventas: generales y administrativas,874003.0
Gastos operativos totales,1203665.0
Ingresos o pérdidas operativos,1151997.0
Gastos de interés,0.0
Valor neto total de otros gastos/ingresos,2954.0
Ingreso antes de impuestos,1101664.0
Impuesto a las ganancias,204108.0
Ingreso de operaciones continuas,897556.0
Ingresos netos,897556.0
Ingreso neto disponible para accionistas comunes,897556.0
EPS básicas,6.12
BPA diluido,6.09
Promedio de acciones básicas,146765.0
Promedio de acciones diluidas,147455.0
